Date,Price,,,,,
29-11-2024,"1,627.15",,,,,
28-11-2024,"1,560.40",,,,,
27-11-2024,"1,577.65",,,,,
26-11-2024,"1,577.25",,,,,
25-11-2024,"1,578.75",,,,,
22-11-2024,"1,569.30",,,,,
21-11-2024,"1,525.15",,,,,
19-11-2024,"1,525.50",,,,,
18-11-2024,"1,537.00",,,,,
14-11-2024,"1,550.50",,,,,
13-11-2024,"1,550.45",,,,,
12-11-2024,"1,555.65",,,,,
11-11-2024,"1,560.55",,,,,
08-11-2024,"1,569.90",,,,,
07-11-2024,"1,575.80",,,,,
06-11-2024,"1,598.80",,,,,
05-11-2024,"1,578.40",,,,,
04-11-2024,"1,591.25",,,,,
01-11-2024,"1,616.45",,,,,
31-10-2024,"1,612.60",,,,,
30-10-2024,"1,633.35",,,,,
29-10-2024,"1,637.10",,,,,
28-10-2024,"1,663.35",,,,,
25-10-2024,"1,666.00",,,,,
24-10-2024,"1,678.45",,,,,
23-10-2024,"1,685.80",,,,,
22-10-2024,"1,692.25",,,,,
21-10-2024,"1,692.55",,,,,
18-10-2024,"1,707.85",,,,,
17-10-2024,"1,701.15",,,,,
16-10-2024,"1,733.95",,,,,
15-10-2024,"1,717.25",,,,,
14-10-2024,"1,695.60",,,,,
11-10-2024,"1,687.40",,,,,
10-10-2024,"1,678.10",,,,,
09-10-2024,"1,678.10",,,,,
08-10-2024,"1,657.45",,,,,
07-10-2024,"1,662.05",,,,,
04-10-2024,"1,640.90",,,,,
03-10-2024,"1,673.45",,,,,
01-10-2024,"1,698.70",,,,,
30-09-2024,"1,709.55",,,,,
27-09-2024,"1,734.60",,,,,
26-09-2024,"1,771.10",,,,,
25-09-2024,"1,760.40",,,,,
24-09-2024,"1,756.65",,,,,
23-09-2024,"1,750.45",,,,,
20-09-2024,"1,711.75",,,,,
19-09-2024,"1,664.85",,,,,
18-09-2024,"1,654.90",,,,,
17-09-2024,"1,661.75",,,,,
16-09-2024,"1,635.45",,,,,
13-09-2024,"1,634.45",,,,,
12-09-2024,"1,646.75",,,,,
11-09-2024,"1,577.80",,,,,
10-09-2024,"1,577.85",,,,,
09-09-2024,"1,542.65",,,,,
06-09-2024,"1,539.25",,,,,
05-09-2024,"1,547.20",,,,,
04-09-2024,"1,561.90",,,,,
03-09-2024,"1,560.60",,,,,
02-09-2024,"1,571.35",,,,,
30-08-2024,"1,589.05",,,,,
29-08-2024,"1,565.90",,,,,
28-08-2024,"1,556.35",,,,,
27-08-2024,"1,522.75",,,,,
26-08-2024,"1,513.55",,,,,
23-08-2024,"1,506.75",,,,,
22-08-2024,"1,486.35",,,,,
21-08-2024,"1,463.45",,,,,
20-08-2024,"1,449.15",,,,,
19-08-2024,"1,469.65",,,,,
16-08-2024,"1,483.55",,,,,
14-08-2024,"1,471.70",,,,,
13-08-2024,"1,459.70",,,,,
12-08-2024,"1,458.60",,,,,
09-08-2024,"1,464.10",,,,,
08-08-2024,"1,451.80",,,,,
07-08-2024,"1,441.75",,,,,
06-08-2024,"1,443.55",,,,,
05-08-2024,"1,465.70",,,,,
02-08-2024,"1,493.80",,,,,
01-08-2024,"1,505.50",,,,,
31-07-2024,"1,491.55",,,,,
30-07-2024,"1,470.35",,,,,
29-07-2024,"1,481.35",,,,,
26-07-2024,"1,514.40",,,,,
25-07-2024,"1,449.15",,,,,
24-07-2024,"1,455.20",,,,,
23-07-2024,"1,465.70",,,,,
22-07-2024,"1,465.40",,,,,
19-07-2024,"1,461.75",,,,,
18-07-2024,"1,483.65",,,,,
16-07-2024,"1,466.50",,,,,
15-07-2024,"1,437.60",,,,,
12-07-2024,"1,433.25",,,,,
11-07-2024,"1,437.95",,,,,
10-07-2024,"1,445.05",,,,,
09-07-2024,"1,435.55",,,,,
08-07-2024,"1,435.15",,,,,
05-07-2024,"1,429.70",,,,,
04-07-2024,"1,423.05",,,,,
03-07-2024,"1,419.85",,,,,
02-07-2024,"1,418.95",,,,,
